gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1318426132	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3d588ab48-3074-48e0-97ed-4884e5296d42		00896661.tif	Barcode 00896661	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318404163	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3400a911e-57f3-4254-8860-73aef9d73d8d		00896703.tif	Barcode 00896703	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318396980	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3f2f5523d-0b98-4da5-a798-baa9b65ce419		00897762.tif	Barcode 00897762	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318392262	StillImage	image/jpeg	http://n2t.net/ark:/65665/m338bc9f65-21ba-4e85-a2d7-7d6079262b45		01234529.tif	Barcode 01234529	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318312102	StillImage	image/jpeg	http://n2t.net/ark:/65665/m39ac54830-befc-4115-983a-1f5d5d1102f6		00897412.tif	Barcode 00897412	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318272618	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3d82ee2ea-826a-4189-accc-63fb4d390954		00897348.tif	Barcode 00897348	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318268907	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3a49de5b5-efd1-40e6-a507-43ba367357dc		01234531.tif	Barcode 01234531	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318195959	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3ff2183b2-459f-4b06-aa59-456770b9e092		00897276.tif	Barcode 00897276	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318122996	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3070690c4-0937-41c4-a532-3a15d99a9a41		00897092.tif	Barcode 00897092	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318119829	StillImage	image/jpeg	http://n2t.net/ark:/65665/m302c8a81e-7c4f-4747-97d9-4595c8028a9d		00896896.tif	Barcode 00896896	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318114564	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3b7893756-0457-460d-97f3-e15949ab3a7d		00897979.tif	Barcode 00897979	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318080425	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3a11092fe-050e-4fca-8626-e32773228d00		00896823.tif	Barcode 00896823	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318072874	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3b5f2828a-d833-4b7e-a07b-e21625a3ab3e		00897194.tif	Barcode 00897194	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
